post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47707269,What Game Engines Know About Data That Databases Forgot,technology,53,30,speckx,2026-04-10 00:57:33,0.5555555555555556,False
47707762,"Hegel, a universal property-based testing protocol and family of PBT libraries",technology,25,3,PaulHoule,2026-04-10 00:57:33,0.11538461538461539,False
47706141,Research-Driven Agents: What Happens When Your Agent Reads Before It Codes,technology,38,11,hopechong,2026-04-10 00:57:34,0.28205128205128205,False
47706268,EFF is leaving X,technology,591,528,gregsadetsky,2026-04-10 00:57:35,0.8918918918918919,True
47701148,Top laptops to use with FreeBSD,technology,205,108,fork-bomber,2026-04-10 00:57:36,0.5242718446601942,False
47690060,Where does all the milk go?,technology,29,39,DiffTheEnder,2026-04-10 00:57:38,1.3,False
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,214,167,kisamoto,2026-04-10 00:57:38,0.7767441860465116,False
47685644,Introduction to Nintendo DS Programming,technology,180,32,medbar,2026-04-10 00:57:39,0.17679558011049723,False
47702541,A WebGPU implementation of Augmented Vertex Block Descent,technology,100,11,juretriglav,2026-04-10 00:57:39,0.10891089108910891,False
47661977,Doing Impressions: Monet's Early Caricatures (ca. late 1850s),technology,34,1,prismatic,2026-04-10 00:57:40,0.02857142857142857,False
47705834,"Little Snitch comes to Linux, but the core logic is closed source",technology,16,5,TheIPW,2026-04-10 00:57:41,0.29411764705882354,False
47703419,Meta removes ads for social media addiction litigation,technology,438,178,giuliomagnifico,2026-04-10 00:57:41,0.4054669703872437,True
47701572,"Wit, unker, Git: The lost medieval pronouns of English intimacy",technology,143,82,eigenspace,2026-04-10 00:57:42,0.5694444444444444,False
47706140,Unfolder for Mac – A 3D model unfolding tool for creating papercraft,technology,20,2,codazoda,2026-04-10 00:57:42,0.09523809523809523,False
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,111,81,SirHound,2026-04-10 00:57:43,0.7232142857142857,False
47707253,ChatGPT Pro now starts at $100/month,technology,114,120,strongpigeon,2026-04-10 00:57:44,1.0434782608695652,False
47699181,Open source security at Astral,technology,325,78,vinhnx,2026-04-10 00:57:45,0.2392638036809816,True
47702499,Lichess and Take Take Take Sign Cooperation Agreement,technology,147,39,stevage,2026-04-10 00:57:46,0.2635135135135135,False
47704881,The Vercel plugin on Claude Code wants to read your prompts,technology,237,86,akshay2603,2026-04-10 00:57:48,0.36134453781512604,False
47701233,Claude mixes up who said what,technology,376,306,sixhobbits,2026-04-10 00:57:52,0.8116710875331565,True
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,389,46,WerWolv,2026-04-10 00:57:54,0.11794871794871795,True
47660434,C# in Unity 2026: Writing more modern code,technology,66,80,hacker_13,2026-04-10 00:58:00,1.1940298507462686,False
47645010,Dr. Dobb's Developer Library DVD 6 (2010),technology,122,44,kristianp,2026-04-10 00:58:01,0.35772357723577236,False
47700388,Help Keep Thunderbird Alive,worldnews,418,304,playfultones,2026-04-10 00:58:19,0.7255369928400954,True
47703123,How Pizza Tycoon simulated traffic on a 25 MHz CPU,worldnews,231,47,FinnKuhn,2026-04-10 00:58:20,0.2025862068965517,False
47658950,Haunted Paper Toys,worldnews,213,28,exvi,2026-04-10 00:58:21,0.1308411214953271,False
47697870,LittleSnitch for Linux,worldnews,1222,402,pluc,2026-04-10 00:58:22,0.3286999182338512,True
47680061,Building a framework-agnostic Ruby gem (and making sure it doesn't break),worldnews,34,4,joemasilotti,2026-04-10 00:58:22,0.11428571428571428,False
47701100,Creating the Futurescape for the Fifth Element (2019),worldnews,106,86,nixass,2026-04-10 00:58:23,0.8037383177570093,False
47661972,Small Engines,worldnews,63,15,surprisetalk,2026-04-10 00:58:24,0.234375,False
47624763,Tree Calculus,worldnews,102,24,tosh,2026-04-10 00:58:24,0.23300970873786409,False
47703065,Session is shutting down in 90 days,worldnews,122,146,balamatom,2026-04-10 00:58:26,1.1869918699186992,False
47708179,Glasses Got Worse on Purpose,worldnews,9,1,chrisaycock,2026-04-10 00:58:27,0.1,False
47666639,The Importance of Being Idle,worldnews,290,185,Caiero,2026-04-10 00:58:28,0.6357388316151202,True
47691730,I ported Mac OS X to the Nintendo Wii,worldnews,1800,305,blkhp19,2026-04-10 00:58:28,0.1693503609106052,True
47693153,Understanding the Kalman filter with a simple radar example,worldnews,407,56,alex_be,2026-04-10 00:58:31,0.13725490196078433,True
47705324,Emperor penguin and Antarctic fur seal now endangered,worldnews,137,33,darth_avocado,2026-04-10 00:58:33,0.2391304347826087,False
47632157,"Improving storage efficiency in Magic Pocket, Dropbox's immutable blob store",worldnews,57,17,laluser,2026-04-10 00:58:35,0.29310344827586204,False
47689648,ML promises to be profoundly weird,worldnews,582,571,pabs3,2026-04-10 00:58:36,0.9794168096054888,True
47707041,Cached knowledge is not intelligence,worldnews,8,0,speckx,2026-04-10 00:58:37,0.0,False
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,381,361,chabons,2026-04-10 00:58:38,0.9450261780104712,True
47648538,I imported the full Linux kernel git history into pgit,worldnews,161,38,ImGajeed76,2026-04-10 00:58:39,0.2345679012345679,False
47678690,Six (and a half) intuitions for KL divergence,worldnews,104,25,jxmorris12,2026-04-10 00:58:40,0.23809523809523808,False
47702861,Encrypted Client Hello: How it was blocked in Russia and next steps,worldnews,22,4,grittygrease,2026-04-10 00:59:26,0.17391304347826086,False
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,613,260,zixuanlimit,2026-04-10 00:59:29,0.4234527687296417,True
47680124,IPv6 is the only way forward,worldnews,102,306,quaintdev,2026-04-10 00:59:49,2.970873786407767,False
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,114,26,rryan,2026-04-10 00:59:56,0.22608695652173913,False
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,122,19,ductionist,2026-04-10 01:00:14,0.15447154471544716,False
47700662,Today Is CSS Naked Day,sports,26,0,edent,2026-04-10 01:00:59,0.0,False
47661297,What does it mean to “write like you talk”?,sports,88,76,surprisetalk,2026-04-10 01:01:00,0.8539325842696629,False
47656730,Understanding Traceroute,sports,159,24,stonecharioteer,2026-04-10 01:01:00,0.15,False
47694983,Expanding Swift's IDE Support,sports,134,66,frizlab,2026-04-10 01:01:01,0.4888888888888889,False
47688678,They're made out of meat (1991),sports,612,166,surprisetalk,2026-04-10 01:01:03,0.2707993474714519,True
